REMUNERAÃ.Ã.O.BÃ.SICA.BRUTA..R..,count
"27216,15",1
"18191,41",1
"7457,07",1
"4000,78",1
"7346,15",1
"22752,63",1
"7372,78",1
"11156,88",1
"8922,42",1
"15925,84",1
"9400,12",1
"10425,61",1
"3600,70",1
"28959,33",1
"5836,85",1
"3426,34",1
"20918,23",1
"6151,84",1
"12630,18",1
"5369,30",1
"2352,20",1
"8352,61",1
"12892,22",1
"23749,69",1
"3729,90",1
"24512,94",1
"12806,52",1
"15971,29",1
"13459,31",1
"7871,16",1
"5920,92",1
"7487,76",1
"4403,00",1
"6358,50",1
"11021,11",1
"23656,47",1
"5742,59",1
"6433,06",1
"9097,48",1
"16437,95",1
"14193,04",1
"3108,25",1
"24771,61",1
"5449,17",1
"6484,76",1
"8600,25",1
"3888,56",1
"4272,17",1
"11266,44",1
"5522,89",1
"10786,49",1
"18224,36",1
"13380,60",1
"15543,97",1
"12336,13",1
"6272,68",1
"15612,12",1
"12163,72",1
"9086,31",1
"5125,76",1
"5008,62",1
"7222,24",1
"23733,86",1
"19075,47",1
"20106,81",1
"10237,71",1
"14602,72",1
"6644,48",1
"4692,51",1
"7332,31",1
"3200,62",1
"7758,88",1
"15974,03",1
"16338,32",1
"6946,67",1
"7709,88",1
"23877,96",1
"9243,76",1
"8435,98",1
"6900,73",1
"8640,77",1
"7275,35",1
"10295,99",1
"7567,49",1
"15499,97",1
"5117,27",1
"17427,65",1
"3483,93",1
"4601,90",1
"3208,85",1
"14501,93",1
"11989,74",1
"9191,83",1
"5493,25",1
"6472,11",1
"5829,19",1
"6302,88",1
"10461,62",1
"8762,27",1
"5647,29",1
"13913,42",1
"10295,94",1
"13660,81",1
"3555,20",1
"10244,93",1
"17283,06",1
"4129,36",1
"7543,70",1
"34393,74",1
"8514,81",1
"19801,09",1
"23078,56",1
"10757,08",1
"25812,43",1
"3543,40",1
"16264,57",1
"6835,37",1
"7153,94",1
"4183,54",1
"9088,92",1
"10763,32",1
"7870,88",1
"6359,51",1
"4734,64",1
"6783,55",1
"7169,14",1
"9736,26",1
